IATA_AIRPORT_CODE,AIRPORT,ICAO_AIRPORT_CODE,COUNTRY_CODE,LATITUDE,LONGITUDE
AAL,Aalborg Airport,EKYT,DK,0.0,0.0
AAR,Aarhus Airport,EKAH,DK,0.0,0.0
AES,Ålesund Airport,ENAL,NO,0.0,0.0
AHO,Alghero Airport,LIEA,IT,0.0,0.0
ALC,Alicante Airport,LEAL,ES,0.0,0.0
BDS,Brindisi Airport,LIBR,IT,0.0,0.0
BIO,Bilbao Airport,LEBB,ES,0.0,0.0
BLL,Billund Airport,EKBI,DK,0.0,0.0
BMA,Stockholm Bromma Airport,ESSB,SE,0.0,0.0
BOD,Bordeaux Airport,LFBD,FR,0.0,0.0
BOJ,Burgas Airport,LBBG,BG,0.0,0.0
BOO,Bodø Airport,ENBO,NO,0.0,0.0
BSL,Basel Mulhouse Freiburg Airport,LFSB,CH,0.0,0.0
BUD,Budapest Airport,LHBP,HU,0.0,0.0
BVA,Paris Beauvais Airport,LFOB,FR,0.0,0.0
BVE,Brive Airport,LFBV,FR,0.0,0.0
CRL,Charleroi Airport,EBCI,BE,0.0,0.0
CTA,Catania Fontanarossa Airport,LICC,IT,0.0,0.0
DEB,Debrecen Airport,LHDC,HU,0.0,0.0
DME,Moscow Domodedovo Airport,UUDD,RU,0.0,0.0
DTM,Dortmund Airport,EDLW,DE,0.0,0.0
FCO,Rome Fiumicino Airport,LIRF,IT,0.0,0.0
FMO,Münster Osnabrück Airport,EDDG,DE,0.0,0.0
GSE,Gothenburg City Airport,ESGP,SE,0.0,0.0
HAU,Haugesund Airport,ENHD,NO,0.0,0.0
HEL,Helsinki Vantaa Airport,EFHK,FI,0.0,0.0
HUY,Humberside Airport,EGNJ,UK,0.0,0.0
IBZ,Ibiza Airport,LEIB,ES,0.0,0.0
KIR,Kerry Airport,EIKY,IR,0.0,0.0
LGG,Liege Airport,EBLG,BE,0.0,0.0
LIN,Milan Linate Airport,LIML,IT,0.0,0.0
LJU,Ljubljana Airport,LJLJ,SI,0.0,0.0
LUX,Luxembourg Airport,ELLX,LU,0.0,0.0
MLA,Malta Airport,LMML,MT,0.0,0.0
MPL,Montpellier Airport,LFMT,FR,0.0,0.0
NCL,Newcastle Airport,EGNT,UK,0.0,0.0
NOC,Ireland West Airport Knock,EIKN,IR,0.0,0.0
NRN,Weeze Airport,EDLV,DE,0.0,0.0
NYO,Stockholm Skavsta Airport,ESKN,SE,0.0,0.0
OSL,Oslo Airport Gardermoen,ENGM,NO,0.0,0.0
OTP,Bucharest Henri Coanda Airport,LROP,RU,0.0,0.0
OVD,Asturias Airport,LEAS,ES,0.0,0.0
PSA,Pisa Airport,LIRP,IT,0.0,0.0
RVN,Rovaniemi Airport,EFRO,FI,0.0,0.0
SIP,Simferopol Airport,UKFF,UA,0.0,0.0
SKG,Thessaloniki Airport,LGTS,EL,0.0,0.0
SKP,Skopje Airport,LWSK,MT,0.0,0.0
SNN,Shannon Airport,EINN,IR,0.0,0.0
STN,London Stansted Airport,EGSS,UK,0.0,0.0
SVO,Moscow Sheremetyevo Airport,UUEE,RU,0.0,0.0
TBS,Tbilisi Airport,UGTB,GE,0.0,0.0
TFS,Tenerife South Airport,GCTS,ES,0.0,0.0
TIA,Tirana Airport,LATI,AL,0.0,0.0
TRN,Turin Airport,LIMF,IT,0.0,0.0
VKO,Moscow Vnukovo Airport,UUWW,RU,0.0,0.0
VLC,Valencia Airport,LEVC,ES,0.0,0.0
WAW,Warsaw Airport,EPWA,PL,0.0,0.0
WRO,Wroclaw Airport,EPWR,DE,0.0,0.0
ZAZ,Zaragoza Airport,LEZG,ES,0.0,0.0
AGP,Malaga Airport,LEMG,ES,36.67443,-4.491301
ALA,Almaty Airport,UAAA,KZ,0.0,0.0
ANR,Antwerp Airport,EBAW,BE,0.0,0.0
BCN,Barcelona Airport,LEBL,ES,41.297445,2.083294
BFS,Belfast International Airport,EGAA,IR,0.0,0.0
BGO,Bergen Airport,ENBR,NO,0.0,0.0
BIA,Bastia Airport,LFKB,FR,0.0,0.0
BIQ,Biarritz Airport,LFBZ,FR,0.0,0.0
BRN,Bern Airport,LSZB,CH,0.0,0.0
