ROUTE,ZONE_1_KM,ZONE_1_FACTOR,ZONE_2_KM,ZONE_2_FACTOR,ZONE_3_KM,ZONE_3_FACTOR,ZONE_4_KM,ZONE_4_FACTOR,ZONE_5_KM,ZONE_5_FACTOR,ZONE_6_KM,ZONE_6_FACTOR,ZONE_7_KM,ZONE_7_FACTOR,ZONE_8_KM,ZONE_8_FACTOR,ZONE_9_KM,ZONE_9_FACTOR
LPA-LGW,700,7.0,500,5.0,0,0.0,0,0.0,300,3.0,0,0.0,0,0.0,0,0.0,0,0.0
SVQ-LHR,772,7.72,0,0.0,700,7.0,0,0.0,230,2.3,0,0.0,0,0.0,0,0.0,0,0.0
VGO-CDG,420,4.2,0,0.0,700,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AGP-LHR,992,9.92,0,0.0,600,6.0,0,0.0,154,1.54,0,0.0,0,0.0,0,0.0,0,0.0
VGO-TFN,50,0.5,920,9.2,0,0.0,0,0.0,0,0.0,0,0.0,850,8.5,0,0.0,0,0.0
PMI-AMS,375,3.75,0,0.0,886,8.86,164,1.64,0,0.0,150,1.5,0,0.0,0,0.0,0,0.0
TXL-LIS,570,5.7,0,0.0,899,8.99,0,0.0,0,0.0,0,0.0,39,0.39,756,7.56,0,0.0
PMI-CDG,320,3.2,0,0.0,881,8.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LHR-VGO,350,3.5,0,0.0,765,7.65,0,0.0,145,1.45,0,0.0,0,0.0,0,0.0,0,0.0
MAD-ACE,443,4.43,856,8.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ACE-VGO,98,0.98,888,8.88,0,0.0,0,0.0,0,0.0,0,0.0,651,6.51,0,0.0,0,0.0
AMS-VGO,564,5.64,0,0.0,689,6.89,155,1.55,0,0.0,333,3.33,0,0.0,0,0.0,0,0.0
MAD-LGW,458,4.58,0,0.0,887,8.87,0,0.0,140,1.4,0,0.0,0,0.0,0,0.0,0,0.0
SCQ-BCN,830,8.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
VGO-BCN,902,9.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CDG-BCN,766,7.66,0,0.0,356,3.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FUE-MAD,699,6.99,799,7.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FUE-BCN,1291,12.91,889,8.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SVQ-FUE,480,4.8,764,7.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MAD-AGP,443,4.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MAD-TFN,701,7.01,1000,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TFN-MAD,700,7.0,1000,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
LHR-AGP,997,9.97,0,0.0,550,5.5,0,0.0,146,1.46,0,0.0,0,0.0,0,0.0,0,0.0
AGP-VGO,1154,11.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
