ID,CATEGORY,FAMILY,FAMILY_DESC,SUB_CATEGORY,SUB_CATEGORY_DESCRIPTION,COUNTRY,COUNTRY_CODE,AIRPORT,IATA_AIRPORT_CODE,UNIT_RATE,UNIT_RATE_2,UNIT_RATE_3
T3Cuba_Aguas_ResidualesESTFS,Tasas de handling,HANDLING,CUBA AGUAS RESIDUALES,Cuba_Aguas_Residuales,Cuba aguas residuales,España,ES,Tenerife Sur,TFS,38.47,0.0,0.0
T3Cuba_Agua_PotableESAGP,Tasas de handling,HANDLING,CUBA AGUA POTABLE,Cuba_Agua_Potable,Cuba agua potable,España,ES,Malaga,AGP,38.47,0.0,0.0
T3Handling_DeicingESACE,Tasas de handling,HANDLING,DEICING,Handling_Deicing,Deicing,España,ES,Lanzarote,ACE,2.88,0.0,0.0
T3Handling_Limpieza_EstandarESOVD,Tasas de handling,HANDLING,LIMPIEZA ESTANDAR,Handling_Limpieza_Estandar,Limpieza Estandar,España,ES,Asturias,OVD,82.45,0.0,0.0
T2Fuel_SERVICE_ES1ESMAD,Fuel expenses,FUEL,FUEL,Fuel_SERVICE_ES1,Fuel service,España,ES,Madrid,MAD,530.5,4.13,25.0
T1AterrizajeESTFN,Tasas aeroportuarias,LANDING,LANDING,Aterrizaje,Aterrizaje,España,ES,Tenerife Norte,TFN,5.691663,0.0,0.0
T1AterrizajeESFUE,Tasas aeroportuarias,LANDING,LANDING,Aterrizaje,Aterrizaje,España,ES,Fuerteventura,FUE,5.691663,0.0,0.0
T1Aerodromo_Y_TransitoESOVD,Tasas aeroportuarias,TERMINAL_NAVIGATION,TERMINAL NAVIGATION,Aerodromo_Y_Transito,Aeródromo y tránsito,España,ES,Asturias,OVD,2.383779,0.0,0.0
T1Aerodromo_Y_TransitoESFUE,Tasas aeroportuarias,TERMINAL_NAVIGATION,TERMINAL NAVIGATION,Aerodromo_Y_Transito,Aeródromo y tránsito,España,ES,Fuerteventura,FUE,3.045355,0.0,0.0
T1Energia a 400Hz (1 conexión) no UEFRCDG,Tasas aeroportuarias,ENERGY_SUPPLY,ENERGY SUPPLY,Energia a 400Hz (1 conexión) no UE,Energia a 400Hz (1 conexión) no UE,Francia,FR,Paris Charles de Gaulle,CDG,22.02,2.0,0.0
