GEOHASH_9,AIRPORT,H24_(Y/N),OPERATIONS_HOURS,ALTERNATE_1,ALTERNATE_2,FUELLER_1,FUELLER_2,HANDLING_1,HANDLING_2,HANDLING_3,RAMP,STANDS,LATITUDE,LONGITUDE,EXIT,MAX_ACFT,APROAR,DEICING,NOISE_ABATEMENT_PROCEDURES,LINK
ezrm108e6,ZAZ,,,,,0,0,,,0,-,9,41.66347778,-1.009963889,A,B738,N,0,-,-
ezjqnz33g,MAD,,,,,0,0,,,0,R-2,T20,40.46985278,-3.568705556,R,B763,,0,-,-
ezjqnsgc2,MAD,,,,,0,0,,,0,R-6,125A,40.45600278,-3.576388889,R,F2TH,,0,-,-
ezjqq79g9,MAD,,,,,0,0,,,0,R-11,342,40.49348333,-3.590069444,R,B739,-,0,-,-
ezjqq71cf,MAD,,,,,0,0,,,0,R-11,356,40.49044167,-3.590036111,R,B739,W,0,-,-
ezjqq7gdh,MAD,,,,,0,0,,,0,R-12,426,40.49461667,-3.587547222,A,B752,,0,-,-
sp36yypsv,BCN,,,,,0,0,,,0,R3,144,41.29843056,2.064963889,-,B752 (1),,0,-,-
sp36zku17,BCN,,,,,0,0,,,0,R13,252,41.29098611,2.082058333,R,B753 (1),-,0,-,-
sp36zk077,BCN,,,,,0,0,,,0,R14,280,41.28719167,2.076916667,R,B752,,0,-,-
etn1u7v2k,FUE,,,,,0,0,,,0,R-2A,19,28.45329722,-13.86832222,Push-Back,B767,-,0,-,-
etn1u6j0c,FUE,,,,,0,0,,,0,-,52B,28.44373333,-13.86881667,Push-Back,24m,-,0,-,-
sp1bvzwch,PMI,,,,,0,0,,,0,R3,02,39.54821666666666,2.7231055555555557,R,B763,E,0,-,-
snbvpjn8r,IBZ,,,,,0,0,,,0,-,15,38.8752,1.3715694444444444,A,B752,-,0,-,-
snbvphev5,IBZ,,,,,0,0,,,0,-,19,38.87325278,1.367597222,A,B744,-,0,-,-
sp54b07j7,MAH,,,,,0,0,,,0,-,A1,39.86068889,4.223038889,–,17m,W,0,-,-
eyntgu3jm,OUD,,,,,0,0,,,0,,4,34.78502778,-1.942958333,,,,0,-,-
eyntgue1y,OUD,,,,,0,0,,,0,,1t,34.78578333,-1.940183333,,,-,0,-,-
evd7c2vxb,RAK,,,,,0,0,,,0,,A1,31.60216944,-8.023430556,,,,0,-,-
evd7c2ve7,RAK,,,,,0,0,,,0,,A4,31.60135833,-8.023302778,,,W,0,-,-
ev3k99s9h,AGA,,,,,0,0,,,0,,AS,30.33071944,-9.419902778,,,-,0,-,-
eyh3nb8mj,FEZ,,,,,0,0,,,0,,F9,33.92941389,-4.976247222,,,,0,-,-
evftgbcvv,CMN,,,,,0,0,,,0,,G6,33.35961111,-7.566941667,,,-,0,-,-
evftgc1xj,CMN,,,,,0,0,,,0,,J15,33.36119444,-7.567277778,,,E,0,-,-
ey51wksj8,RBA,,,,,0,0,,,0,,D3,34.03936389,-6.751083333,,,W (12),0,-,-
eyjz54hqe,NDR,,,,,0,0,,,0,,H6,34.99258611,-3.026247222,,,,0,-,-
sq67cwupq,MLA,,,,,0,0,,,0,Apron 8,1,35.85376389,14.48573333,,,,0,-,-
u0n5ws9yk,MXP,,,,,0,0,,,0,,204,45.64102778,8.725747222,,,,0,-,-
u0n5wsbfk,MXP,,,,,0,0,,,0,,220,45.64171944,8.724377778,,,N,0,-,-
u0n5w3e4g,MXP,,,,,0,0,,,0,,612,45.62398056,8.716413889,,,,0,-,-
u0n5w3h78,MXP,,,,,0,0,,,0,,702,45.62133333,8.718019444,,,-,0,-,-
u0n5w2rn7,MXP,,,,,0,0,,,0,,757a,45.61771667,8.721913889,,,-,0,-,-
ezrm105wr,ZAZ,,,,,0,0,,,0,-,1,41.66124167,-1.005611111,R,B748,-,0,-,-
ezrm1066x,ZAZ,,,,,0,0,,,0,-,5,41.662,-1.007341667,A,B738,SE,0,-,-
ezjqnxzxw,MAD,,,,,0,0,,,0,R-1,T30,40.47354722,-3.570958333,R,B752,-,0,-,-
ezjqnz1fw,MAD,,,,,0,0,,,0,R-2,T17,40.46861111,-3.567858333,R,B753,,0,-,-
ezjqntzdf,MAD,,,,,0,0,,,0,R-3,T20W,40.46176667,-3.571155556,R,B744,,0,-,-
ezjqnv8dx,MAD,,,,,0,0,,,0,R-4,33,40.46035556,-3.569538889,R,B752,-,0,-,-
ezjqnsste,MAD,,,,,0,0,,,0,R-6,122,40.45537222,-3.575219444,R,GLEX,,0,-,-
ezjqnvmfe,MAD,,,,,0,0,,,0,R-7,233,40.45899167,-3.562516667,A,SW4,S,0,-,-
ezjqqu1w3,MAD,,,,,0,0,,,0,R-23,525,40.49668889,-3.568419444,R,A346,,0,-,-
sp36zx9qm,BCN,,,,,0,0,,,0,R0,42,41.30696111,2.089375,R,F900,,0,-,-
sp36zrx0b,BCN,,,,,0,0,,,0,R1,71,41.30599722,2.086036111,-,A321,-,0,-,-
sp36zrhcb,BCN,,,,,0,0,,,0,R2,102,41.303425,2.082958333,R,B752 (1),NE,0,-,-
sp36yvu9s,BCN,,,,,0,0,,,0,R9,174,41.29652778,2.060830556,-,A321,-,0,-,-
sp36zmh15,BCN,,,,,0,0,,,0,R12,244,41.2923,2.082080556,R,A321,W,0,-,-
sp36zmh0k,BCN,,,,,0,0,,,0,R12,245,41.29219722,2.082097222,R,B744,-,0,-,-
esupw9t2c,TFS,,,,,0,0,,,0,-,I-9,28.04550556,-16.582075,R,B744,,0,-,-
etn1u7ywe,FUE,,,,,0,0,,,0,R-1A,36,28.454375,-13.86666944,A,B763,SE,0,-,-
etn1u7mrp,FUE,,,,,0,0,,,0,R-2A,22B,28.45171389,-13.86820278,R,ATR72,W,0,-,-
etn1ukm2w,FUE,,,,,0,0,,,0,R-3,14,28.45605833,-13.86823611,Push-Back,B767,-,0,-,-
sp1bvzy6r,PMI,,,,,0,0,,,0,R3,101,39.54981111111111,2.722513888888889,R,B763,,0,-,-
sp1bvzyun,PMI,,,,,0,0,,,0,R3,102,39.55012778,2.723180556,R,B763,,0,-,-
sp1cn0t1h,PMI,,,,,0,0,,,0,R7,115,39.55373889,2.731669444,A,A321,-,0,-,-
sp1cn0xpc,PMI,,,,,0,0,,,0,R7,118,39.55488888888888,2.7342750000000002,A,A321,E,0,-,-
sp1bypneh,PMI,,,,,0,0,,,0,R14,88,39.54582222222222,2.733738888888889,R,A321,-,0,-,-
sp1byndgg,PMI,,,,,0,0,,,0,R16,154B,39.543188888888885,2.7285444444444447,A,30m (9),,0,-,-
snbvpjp66,IBZ,,,,,0,0,,,0,-,14,38.87553888888889,1.3723527777777778,A,B752,-,0,-,-
snbvphev2,IBZ,,,,,0,0,,,0,-,19A,38.87330278,1.367455556,A,A321,-,0,-,-
snbvpmem0,IBZ,,,,,0,0,,,0,AG 1,63N,38.87873056,1.377775,R,C56X,-,0,-,-
sp54b07pv,MAH,,,,,0,0,,,0,-,A8,39.86114444,4.223086111,–,15m,-,0,-,-
evd7c918g,RAK,,,,,0,0,,,0,,22G,31.60230833,-8.017816667,,,,0,-,-
evd7c2xjf,RAK,,,,,0,0,,,0,,E4,31.60045556,-8.021288889,,,-,0,-,-
eyh3n8z8n,FEZ,,,,,0,0,,,0,,S1,33.92991667,-4.977202778,,,,0,-,-
eyh3n8txd,FEZ,,,,,0,0,,,0,,R1,33.92983333,-4.980119444,,,,0,-,-
eyh3n8g0n,FEZ,,,,,0,0,,,0,,R8,33.92991111,-4.983413889,,,,0,-,-
evftgd0we,CMN,,,,,0,0,,,0,,C24,33.36660278,-7.579713889,,,E,0,-,-
evftg7uct,CMN,,,,,0,0,,,0,,E4,33.37535,-7.584805556,,,,0,-,-
evftg8xew,CMN,,,,,0,0,,,0,,F4,33.357875,-7.569977778,,,W,0,-,-
evftgbbup,CMN,,,,,0,0,,,0,,G4,33.35930278,-7.568213889,,,-,0,-,-
evftg6zkw,CMN,,,,,0,0,,,0,,J9,33.37038333,-7.581311111,,,,0,-,-
eyjz54qdk,NDR,,,,,0,0,,,0,,2,34.99325,-3.023094444,,,,0,-,-
sq67cvdrs,MLA,,,,,0,0,,,0,Apron 9,10,35.84694167,14.49425556,,,E,0,-,-
u0n5w3txh,MXP,,,,,0,0,,,0,,655,45.62469444,8.719888889,,,S,0,-,-
u0n5w3q4x,MXP,,,,,0,0,,,0,,662,45.62256667,8.7207,,,-,0,-,-
u0n5qrjfj,MXP,,,,,0,0,,,0,,854,45.61011389,8.720297222,,,,0,-,-
ezjqntmbp,MAD,,,,,0,0,,,0,R-5,68,40.45854444,-3.573330556,A,A321,-,0,-,-
ezjqnt5bu,MAD,,,,,0,0,,,0,R-6,117,40.45731111,-3.576194444,R,F2TH,-,0,-,-
ezjqnsrnt,MAD,,,,,0,0,,,0,R-6,146,40.45417222,-3.571711111,R,B752,N,0,-,-
ezjqnvkfd,MAD,,,,,0,0,,,0,R-7,237,40.45898333,-3.563930556,R,AT45,-,0,-,-
ezjqqk6nx,MAD,,,,,0,0,,,0,R-13,404,40.49812222,-3.589469444,A,B739,-,0,-,-
ezjqqgc9d,MAD,,,,,0,0,,,0,R-23,512,40.494525,-3.568380556,R,A321,W,0,-,-
ezjqqu4yu,MAD,,,,,0,0,,,0,R-22,554,40.49677778,-3.566566667,R,A321,E,0,-,-
ezjqqg4yt,MAD,,,,,0,0,,,0,R-20,574,40.49125556,-3.566530556,R,A321,,0,-,-
ezjqqg4dr,MAD,,,,,0,0,,,0,R-20,577,40.49051389,-3.566794444,R,A346,,0,-,-
sp36znxhj,BCN,,,,,0,0,,,0,R2,119A,41.30107778,2.075297222,R,B744,,0,-,-
sp36znw8g,BCN,,,,,0,0,,,0,R2,121,41.30049444,2.074508333,R,B762,,0,-,-
esupw9rjp,TFS,,,,,0,0,,,0,-,E-25,28.04486389,-16.579425,A,B739,,0,-,-
esupwcdjg,TFS,,,,,0,0,,,0,-,H-18,28.04636389,-16.57546389,A,B763,-,0,-,-
etn1u7mhq,FUE,,,,,0,0,,,0,R-2A,23B,28.451225,-13.86858056,Push-Back,B747,E|W,0,-,-
etn1ukmmx,FUE,,,,,0,0,,,0,R-3,12,28.45694167,-13.86820556,Push-Back,B757,,0,-,-
sp1bypn39,PMI,,,,,0,0,,,0,R14,90,39.545586111111106,2.7332444444444444,R,A321,W,0,-,-
sp1byn1jh,PMI,,,,,0,0,,,0,R17,209,39.540683333333334,2.726163888888889,R,20m (9),-,0,-,-
sp1byn0ek,PMI,,,,,0,0,,,0,R17,212,39.54035833333333,2.725477777777778,R,20m (9),-,0,-,-
sp1byn0jy,PMI,,,,,0,0,,,0,R17,221,39.540816666666665,2.7248972222222223,R,20m (9),S,0,-,-
sp1byn30w,PMI,,,,,0,0,,,0,R17,230,39.541288888888886,2.7262666666666666,R,30m (9),,0,-,-
snbvphynt,IBZ,,,,,0,0,,,0,-,16,38.87488333333334,1.3707916666666666,A,B753,-,0,-,-
sp54b0d2s,MAH,,,,,0,0,,,0,-,B4,39.86125833,4.222022222,-3,12m,-,0,-,-
evd7c3jud,RAK,,,,,0,0,,,0,,11,31.60295278,-8.023011111,,,-,0,-,-
ev3k99scn,AGA,,,,,0,0,,,0,,A8,30.33071111,-9.419466667,,,,0,-,-
ev3k99knq,AGA,,,,,0,0,,,0,,A19,30.33023056,-9.4205,,,,0,-,-
sq6k12pz2,MLA,,,,,0,0,,,0,Apron 1,11,35.86064444,14.47966667,,,SE,0,-,-
sq67cy330,MLA,,,,,0,0,,,0,Apron 9,1,35.84996111,14.492725,,,SE,0,-,-
