AIRPORT,H24_(Y/N),OPERATIONS_HOURS,ALTERNATE_1,ALTERNATE_2,FUELLER_1,FUELLER_2,HANDLING_1,HANDLING_2,HANDLING_3,RAMP,STANDS,LATITUDE,LONGITUDE,GEOHASH_9,EXIT,MAX_ACFT,APROAR,DEICING,NOISE_ABATEMENT_PROCEDURES,LINK
ZAZ,-,-,-,-,-,-,-,-,-,-,1,41.66124167,-1.005611111,ezrm105wr,R,B748,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,2,41.66120833,-1.005947222,ezrm105qp,A,A30B,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,3,41.661575,-1.006580556,ezrm10702,A,B738,NE,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,4,41.66164722,-1.00635,ezrm1070w,R,B748,NE,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,5,41.662,-1.007341667,ezrm1066x,A,B738,SE,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,5A,41.66205,-1.007083333,ezrm106ej,R,B748,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,6,41.66241389,-1.008088889,ezrm103vj,A,B738,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,7,41.662775,-1.008747222,ezrm103rq,A,B738,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,8,41.66312778,-1.009388889,ezrm108cr,A,B738,W,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,9,41.66347778,-1.009963889,ezrm108e6,A,B738,N,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,10,41.66397778,-1.010947222,ezrm0bxy7,A,A30B,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,10A,41.66390833,-1.01035,ezrm108mc,R,B734,E,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,10B,41.66413056,-1.010752778,ezrm0bxzp,R,B734,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,11,41.66448056,-1.011855556,ezrm0bz1n,A,A30B,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,12,41.66296389,-1.012433333,ezrm0bwb2,R,B744,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,13,41.66257778,-1.011727778,ezrm0brq1,R,B744,W,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,20,41.66022778,-1.005191667,ezrm10h03,-,-,S,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,21,41.66045556,-1.004969444,ezrm10h1w,-,-,-,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,22,41.66060278,-1.004822222,ezrm10h69,-,-,E,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,23,41.66082778,-1.0046,ezrm10h7z,-,-,E,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,30,41.65798611,-1.003677778,ezrkcpt5k,-,-,E,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,31,41.65814444,-1.003963889,ezrkcpsum,-,-,,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,32,41.65830556,-1.004252778,ezrkcpstp,-,-,,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,33,41.65846389,-1.004541667,ezrkcpsw0,-,-,,,-,-
ZAZ,-,-,-,-,-,-,-,-,-,-,34,41.658625,-1.004830556,ezrkcpsr1,-,-,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,0,40.478125,-3.574411111,ezjqq8v4n,A,B752,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,1,40.47778056,-3.574072222,ezjqq8v2n,A,B752,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,2,40.47739167,-3.573658333,ezjqq8ttz,A,B739,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,3,40.47710278,-3.573363889,ezjqq8tun,A,B739,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,4,40.47681667,-3.573069444,ezjqq8w4t,A,B739,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,5,40.47652778,-3.572777778,ezjqq8w2u,A,B739,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-0,6,40.47610278,-3.572161111,ezjqq8qy6,A,AT72,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,7,40.47544722,-3.571188889,ezjqq8rd9,A,CRJ2,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,8,40.475225,-3.570927778,ezjqq8r9r,A,AT72,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,9,40.475025,-3.570713889,ezjqq8rbh,A,AT72,,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,10,40.47246944,-3.568705556,ezjqnzc35,A,B752,W,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,11,40.47202222,-3.568580556,ezjqnz9qw,A,B752,SW,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,12,40.47182222,-3.568047222,ezjqnz9v6,A,B752,SW/SE,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T22,40.47064722,-3.569541667,ezjqnz2wx,R,B763,NE,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T23,40.47086111,-3.569855556,ezjqnz2xb,R,B753,SE,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T24,40.47129444,-3.5705,ezjqnz843,R,B763,-,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T25,40.47185833,-3.570530556,ezjqnz8j8,R,B753,S,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T26,40.47228333,-3.570452778,ezjqnzb04,R,B753,N,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T27,40.47270833,-3.570327778,ezjqnzb4t,R,B753,-,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T28,40.47306111,-3.570361111,ezjqnzbhs,R,B752,-,,-,-
MAD,-,-,-,-,-,-,-,-,-,R-1,T29,40.47333056,-3.570744444,ezjqnxzy5,R,B752,E,,-,-
